Guild Name;Daily Results;Latest Submission Date;Latest Rank / Step;Latest Date (Flat);Previous Ranks;Previous Rank (Clean);Latest Rank Change;Latest League;Rank Movement;All Results;Wins;Draws;Losses;Wins / Draws / Losses;Points
Howling Wolves (S402);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
JLC Brawlers (S696);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
KingdoM (S500);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
KUCE (S907);20/06/2025;20/06/2025;891;6/20/2025 12:00am;;;;Duke;⬜ First Submission;;0;0;0;0 / 0 / 0;0
La Cristiada (S779);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Legends (S1054);2025-06-18,2025-06-19,2025-06-20,2025-06-24,2025-06-23,2025-06-25,2025-06-26;26/06/2025;728;6/26/2025 12:00am;951,580,795,1122,706,1020;951;223;Duke;🟩 Gained;Loss, Win, Loss, Win, Win, Loss, Win;4;0;3;4 / 0 / 3;0
LEON CORO (S1027);2025-06-06,2025-06-26;26/06/2025;389;6/26/2025 12:00am;2;2;-387;Duke;🟥 Dropped;Win, Win;2;0;0;2 / 0 / 0;16058
Lions of Garuda (S933);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Lunar (S590);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
LVBO (S818);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Might & Magic II (S1085);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Mother Earth Wings A (S1027);2025-06-20,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-07-01,2025-07-02,2025-07-03,2025-07-04;04/07/2025;3;7/4/2025 12:00am;714,975,503,696,981;714;711;Earl;🟩 Gained;Win, Win, Win, Loss, Win;4;0;1;4 / 0 / 1;15726
Necsus of DarKness (S877);2025-06-02,2025-06-03,2025-06-04,2025-06-06,2025-06-05,2025-06-08,2025-06-10,2025-06-11,2025-06-13,2025-06-17,2025-06-18,2025-06-16,2025-06-19,2025-06-20,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-07-01,2025-07-02;02/07/2025;1;7/2/2025 12:00am;655,1079,703,943,549,870,480,1,2,2,4,4,1,2,3,4,4,1;655;654;Viscount;🟩 Gained;Win, Win, Loss, Win, Win, Win, Win, Loss, Win, Win, Win, Loss, Loss, Win, Loss, Win, Loss, Win;12;0;6;12 / 0 / 6;15774
NoJerk (S941);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Olympus (S858);2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-24,2025-06-25,2025-06-26;26/06/2025;103;6/26/2025 12:00am;42,73,178,70,20,37,71;42;-61;Duke;🟥 Dropped;Win, Win, Win, Loss, Loss, Win, Win, Loss;5;0;3;5 / 0 / 3;16711
Phoenix (S922);2025-06-05,2025-06-06,2025-06-17,2025-06-18,2025-06-19,2025-06-25,2025-06-26;26/06/2025;89;6/26/2025 12:00am;148,61,37,177,2,2;148;59;Duke;🟩 Gained;Win, Loss, Win, Win, Win, Win, Win;6;0;1;6 / 0 / 1;8020
Phoenix of Darkness (S313);30/06/2025;30/06/2025;26;6/30/2025 12:00am;;;;Duke;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Phoenix Rising (S691);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Plague (S743);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Quetta (S869);27/06/2025;27/06/2025;349;6/27/2025 12:00am;;;;Duke;⬜ First Submission;Win;1;0;0;1 / 0 / 0;16124
Raven's Ark (S944);2025-06-04,2025-06-10,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-23,2025-06-24,2025-06-25,2025-06-26;26/06/2025;402;6/26/2025 12:00am;596,319,539,284,464,722,392,1,4;596;194;Duke;🟩 Gained;Loss, Loss, Win, Win, Loss, Win, Loss, Win;4;0;4;4 / 0 / 4;16044
RedRodger (S561);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Saiyajins (S313);2025-06-24,2025-06-25,2025-06-26;26/06/2025;198;6/26/2025 12:00am;83,12;83;-115;Duke;🟥 Dropped;Win, Win;2;0;0;2 / 0 / 0;16215
Semi-Croustillants (S705);2025-06-04,2025-06-03,2025-06-02,2025-06-05,2025-06-09,2025-06-06,2025-06-10,2025-06-20,2025-06-24,2025-06-25,2025-06-26;26/06/2025;26;6/26/2025 12:00am;26,44,122,4,4,1,1,3,0,0;26;;Duke;⬛ Same;Win, Win, Win, Win, Win, Win, Loss, Loss, Win, Win, Draw;8;1;2;08/01/2002;17149
Singularity (S699);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
SG Black Pearl (S476);2025-06-13,2025-06-20;20/06/2025;201;6/20/2025 12:00am;2;2;-199;Duke;🟥 Dropped;Loss, Win;1;0;1;1 / 0 / 1;14096
SG Diamond (S476);20/06/2025;20/06/2025;35;6/20/2025 12:00am;;;;Duke;⬜ First Submission;Win;1;0;0;1 / 0 / 0;14778
Shamrock (S634);2025-06-02,2025-06-03,2025-06-04,2025-06-06,2025-06-09,2025-06-10,2025-06-11,2025-06-16,2025-06-13,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-07-01,2025-07-02,2025-07-03,2025-07-04;04/07/2025;2;7/4/2025 12:00am;32,53,53,100,37,56,92,159,51,1,3,4,4,8588,6985,6085,5300;32;30;Earl;🟩 Gained;Win, Win, Win, Win, Win, Loss, Loss, Win, Win, Loss, Win, Win, Win, Loss, Win, Draw, Win;12;1;4;12/01/2004;17114
Silver Crusaders (S691);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
StrongHold (S646);2025-06-02,2025-06-03,2025-06-04,2025-06-26,2025-06-25,2025-06-24,2025-06-23,2025-06-20,2025-06-19,2025-06-18,2025-06-17,2025-06-16,2025-06-13,2025-06-12,2025-06-11,2025-06-10,2025-06-09,2025-06-06,2025-06-05;26/06/2025;1797;6/26/2025 12:00am;1295,842,457,663,800,1,1,2,3,4,1,1,2,4,4,4,1,2;1295;-502;Duke;🟥 Dropped;Loss, Win, Win, Loss, Loss, Loss, Win, Win, Win, Loss, Win, Loss, Win, Win, Loss, Win, Win, Loss, Loss;10;0;9;10 / 0 / 9;13493
Sushi Master (S1064);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Swaggers GOATs (S944);2025-06-02,2025-06-03,2025-06-04,2025-06-06,2025-06-05,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-16,2025-06-13,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-07-01,2025-07-02,2025-07-03,2025-07-04;04/07/2025;2;7/4/2025 12:00am;770,983,635,845,431,576,269,384,2,3,4,4,1,2,3,3,4,4,1;770;768;Earl;🟩 Gained;Win, Win, Loss, Loss, Win, Win, Win, Loss, Loss, Win, Win, Win, Win, Loss, Win, Loss, Win, Win, Win;13;0;6;13 / 0 / 6;4017
The Brewery (S720);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
The Cartel (S948);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
The Covenant (S781);2025-06-20,2025-06-24,2025-06-25,2025-06-26;26/06/2025;374;6/26/2025 12:00am;191,295,702;191;-183;Duke;🟥 Dropped;Win;1;0;0;1 / 0 / 0;16077
The Fellowship (S319);01/07/2025;01/07/2025;1;7/1/2025 12:00am;;;;Viscount;⬜ First Submission;;0;0;0;0 / 0 / 0;5354
The Infinite (S308);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Twist of Fate (S912);26/06/2025;26/06/2025;288;6/26/2025 12:00am;;;;Duke;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Valhalla (S835);2025-06-20,2025-06-24,2025-06-25,2025-07-01,2025-07-02,2025-07-04;04/07/2025;4;7/4/2025 12:00am;262,429,335;262;258;Earl;🟩 Gained;;0;0;0;0 / 0 / 0;6385
Vibes (S944);26/06/2025;26/06/2025;125;6/26/2025 12:00am;;;;Duke;⬜ First Submission;Win;1;0;0;1 / 0 / 0;0
Wildfire (S873);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
WinterForce (S835);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Wolves of Freedom (S561);2025-06-02,2025-06-03,2025-06-04,2025-06-06,2025-06-05,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-23,2025-06-24,2025-06-25,2025-06-26;26/06/2025;48;6/26/2025 12:00am;86,32,57,109,32,58,127,38,2,3,3,1,1,2,3,4,1;86;38;Duke;🟩 Gained;Win, Win, Win, Win, Win, Loss, Win, Loss, Win, Win, Loss, Win, Win, Loss, Win, Win, Loss, Win;13;0;5;13 / 0 / 5;17001
Wonkru (S349);2025-06-02,2025-06-03,2025-06-04,2025-06-06,2025-06-05,2025-06-17,2025-06-18,2025-06-16,2025-06-13,2025-06-19,2025-06-20,2025-06-24,2025-07-01,2025-07-02,2025-07-03;03/07/2025;1;7/3/2025 12:00am;95,62,113,193,74,1,1,1,3,3,3,4;95;94;Viscount;🟩 Gained;Win, Win, Win, Win, Loss, Win, Loss, Loss, Win, Win, Win, Win;9;0;3;9 / 0 / 3;14524
Newbie Knights (S600);20/06/2025;20/06/2025;98;6/20/2025 12:00am;;;;Duke;⬜ First Submission;;0;0;0;0 / 0 / 0;0
ABC (S555);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
The Enders (S634);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Executioners Ants (S41);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Yggdrasil (S184);2025-06-02,2025-06-03,2025-06-06,2025-06-05,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-13,2025-06-04,2025-07-01,2025-07-02,2025-07-03;03/07/2025;6918;7/3/2025 12:00am;97,37,64,120,45,76,132,226,11784,11536,10756,10004,9762,8948,8028,7242,6276,5501,5269;97;-6821;Earl;🟥 Dropped;Win, Loss, Win, Win, Win, Win, Loss, Win, Loss, Draw, Win, Win, Win, Loss, Win, Win, Loss, Win, Win;13;1;5;13/01/2005;16755
Rebels (S817);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Dark Legend (S131);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
The Horde (S189);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Void Walkers (S110);2025-06-04,2025-06-05,2025-06-09,2025-06-10,2025-06-08,2025-06-07,2025-06-11,2025-06-12,2025-06-02,2025-06-01,2025-06-13,2025-06-17,2025-06-18,2025-06-16,2025-06-19,2025-06-20,2025-06-23,2025-06-25,2025-06-26,2025-07-01,2025-07-02,2025-07-03,2025-07-04;04/07/2025;2;7/4/2025 12:00am;22,41,123,47,11,21,17,27,1,1,2,3,4,1,2,3,4,3,3;22;20;Earl;🟩 Gained;Win, Win, Win, Win, Loss, Win, Win, Win, Win, Win, Loss, Win, Draw, Win, Win, Loss, Loss, Win, Win;14;1;4;14/01/2004;17232
Wildfire Faction (S546);2025-06-06,2025-06-09,2025-06-10,2025-06-12,2025-06-11,2025-06-23,2025-06-24,2025-06-26,2025-07-01;01/07/2025;2;7/1/2025 12:00am;194,140,221,2,2,3,1,1;194;192;Viscount;🟩 Gained;Loss, Win, Win, Win, Loss, Win, Win, Win;6;0;2;6 / 0 / 2;16533
Unity (S313);2025-06-02,2025-06-03,2025-06-04,2025-06-06,2025-06-05,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-16,2025-06-18,2025-06-23,2025-06-20,2025-06-24,2025-06-25,2025-06-26,2025-07-01,2025-07-02;02/07/2025;4;7/2/2025 12:00am;106,172,291,140,50,139,1,3,4,1,2,3,4,2,3,3;106;102;Earl;🟩 Gained;Win, Loss, Win, Win, Win, Win, Win, Win, Win, Loss, Win, Loss, Win, Loss, Win, Win;12;0;4;12 / 0 / 4;16691
Slytherin (S943);25/06/2025;25/06/2025;856;6/25/2025 12:00am;;;;Duke;⬜ First Submission;Win;1;0;0;1 / 0 / 0;15017
Wicked Dunamis (S203);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Psyko Snipers (S584);2025-06-27,2025-07-01,2025-07-02,2025-07-03;03/07/2025;4;7/3/2025 12:00am;51;51;47;Earl;🟩 Gained;;0;0;0;0 / 0 / 0;6299
KZQUAD (S944);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
NEMESIS (S1074);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Yolomaly (S699) ;2025-06-10,2025-06-20;20/06/2025;19;6/20/2025 12:00am;3;3;-16;Duke;🟥 Dropped;;0;0;0;0 / 0 / 0;14944
Weird Vibes (S312) ;;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Infinity (S29) ;2025-06-10,2025-06-11,2025-06-20;20/06/2025;58;6/20/2025 12:00am;3,1;3;-55;Duke;🟥 Dropped;Win;1;0;0;1 / 0 / 0;10421
Sausage Shenanigans (S2) ;;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Black Pearl (S337) ;2025-06-03,2025-06-04,2025-06-06,2025-06-05,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-17,2025-06-19,2025-06-16,2025-06-20;20/06/2025;328;6/20/2025 12:00am;545,262,1,2,2,3,4,1,2,4,4;545;217;Duke;🟩 Gained;Win, Win, Win, Win, Loss, Win, Loss, Loss, Loss, Win, Win;7;0;4;7 / 0 / 4;13285
Haven Rises (S60) ;20/06/2025;20/06/2025;11;6/20/2025 12:00am;;;;Duke;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Les Anges Noirs (S62) ;2025-06-02,2025-06-17,2025-06-16,2025-06-24;24/06/2025;47;6/24/2025 12:00am;28,45,5270;28;-19;Duke;🟥 Dropped;Win, Win, Win, Win;4;0;0;4 / 0 / 0;3960
FREY (S184) ;;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Thebes (S192);2025-06-06,2025-06-05;06/06/2025;2;6/6/2025 12:00am;3;3;1;Earl;🟩 Gained;Win, Loss;1;0;1;1 / 0 / 1;4020
DBZ-Fighters (S1104);04/06/2025;04/06/2025;2;6/4/2025 12:00am;;;;Viscount;⬜ First Submission;;0;0;0;0 / 0 / 0;4948
Havoc (S258);04/06/2025;04/06/2025;4;6/4/2025 12:00am;;;;Earl;⬜ First Submission;;0;0;0;0 / 0 / 0;6340
Inquisitors (S974);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Blue Star (S255);10/06/2025;10/06/2025;2;6/10/2025 12:00am;;;;Earl;⬜ First Submission;;0;0;0;0 / 0 / 0;8218
Lets go Bowling (S1003);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
M&M (S1085);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Les Kassos (S33);2025-06-02,2025-06-03,2025-06-04,2025-06-05,2025-06-06,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-16,2025-06-17,2025-06-18,2025-06-20,2025-06-19,2025-06-23,2025-06-24,2025-06-25,2025-06-26;26/06/2025;11;6/26/2025 12:00am;22,38,69,22,39,8,14,29,4,1,1,1,1,1,1,1,1,1;22;11;Duke;🟩 Gained;Win, Loss, Win, Win, Win, Win, Win, Win, Win, Win, Loss, Win, Win, Win, Loss, Loss, Win, Win, Win;15;0;4;15 / 0 / 4;17449
Invictus (S646);2025-06-04,2025-06-05,2025-06-26,2025-06-25,2025-06-24,2025-06-23,2025-06-20,2025-06-19,2025-06-18,2025-06-17,2025-06-16,2025-06-13,2025-06-12,2025-06-11,2025-06-10,2025-06-09,2025-06-06,2025-06-03,2025-06-02,2025-07-02;02/07/2025;4;7/2/2025 12:00am;385,610,869,1285,838,1418,919,1,2,3,3,4,2,3,4,1,2,4,2;385;381;Earl;🟩 Gained;Win, Win, Win, Win, Win, Loss, Win, Loss, Win, Loss, Win, Loss, Win, Win, Win, Win, Win, Win, Win;15;0;4;15 / 0 / 4;16066
Cobra Kai (S33);24/06/2025;24/06/2025;198;6/24/2025 12:00am;;;;Duke;⬜ First Submission;Loss;0;0;1;0 / 0 / 1;15307
Uni Proelium (S248);24/06/2025;24/06/2025;20;6/24/2025 12:00am;;;;Duke;⬜ First Submission;Win;1;0;0;1 / 0 / 0;16057
Nemesis (S114);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Frostwolves (S257);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Heroes of the 963th (963);2025-07-01,2025-07-03,2025-07-03;03/07/2025;4, 4;7/3/2025 12:00am;;;;Earl,Earl;⬜ First Submission;;0;0;0;0 / 0 / 0;6300
Relax Knights (S257);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
The Zenn-La Way (S157);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Pendragon (S607);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
The Continental (S116);02/07/2025;02/07/2025;1;7/2/2025 12:00am;;;;Viscount;⬜ First Submission;;0;0;0;0 / 0 / 0;5508
The Wraiths (S464);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Kass'Co (S33);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Olympus (S203);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
New Wolves (S320);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
Lights (S104);;;;;;;;;⬜ First Submission;;0;0;0;0 / 0 / 0;0
